id,name,description,single_category,description_ko,single_category_ko
14c5314c-6325-41e9-8e5b-4f72f5b05f27,Grapes,This delicious fruit is everyone's favorite,groceries|fruits,이 맛있는 과일은 모두가 좋아하는 과일입니다,식료품|과일
b31c2063-c802-4ceb-a77a-0cab15cf99ee,Hip Belt,This hip belt for women is perfect for all occasions,accessories|belt,이 여성용 힙 벨트는 모든 경우에 적합합니다.,액세서리|벨트
c26e6166-6609-4e61-a674-3e58b6dfc7fc,Light Brown Work Table,Increase your productivity with this incomparable worktable,furniture|tables,비교할 수 없는 이 작업대로 생산성을 높이십시오.,가구|테이블
baa6a74a-015f-41dd-8dd8-bdfc8dc1918a,Light Slate Gray Sneakers,An all-around intrepid pair of light slate gray sneakers,footwear|sneaker,다재다능한 라이트 슬레이트 그레이 스니커즈,신발|스니커즈
dabf7e92-b754-41f9-b182-b0e2d85eaa37,Table Clock,This table clock will keep you on time,homedecor|clock,이 탁상시계는 시간을 잘 지켜줄 거예요,홈 데코 | 시계
3818f451-1478-42e4-8d0d-a3a4779dbc6d,Camera,Camera for amateurs and professonals,electronics|camera,아마추어 및 전문가용 카메라,전자제품|카메라
e64a78fe-21c6-4a9d-afd2-454692ad7196,Desktop Computer,Desktop computer for your computing needs,electronics|computer,컴퓨팅 요구 사항에 맞는 데스크톱 컴퓨터,전자제품|컴퓨터
0dc8e3c4-4556-45fe-a80f-48176777fb83,Neon Pink Shoes,Pair of neon pink formal shoes for women,footwear|formal,여성용 네온 핑크 포멀 슈즈,신발|정장
98330a26-c51c-451e-8caa-911a8c7abf26,Exquisite Ceramic Bowl,Exquisite ceramic bowl for every occasion,housewares|bowls,모든 상황에 어울리는 정교한 도자기 그릇,가정용품|그릇
c3801e4e-9cdf-4ca8-80ec-7c7ce09a84fa,Cool Glasses,These cool glasses for women are perfect everywhere,accessories|glasses,이 멋진 여성용 안경은 어디에나 잘 어울립니다.,액세서리|안경
d52e376b-d958-4d52-ab6d-f7731c7adf22,Dark Gray Handbag,Dark gray handbag for those dressy occasions,accessories|handbag,세련된 룩을 연출하기 좋은 다크 그레이 핸드백,액세서리|핸드백
d24d9212-ca95-45c0-9ced-1d315722d035,Dark Slate Gray Sofa,Enjoy this comfy dark slate gray sofa,furniture|sofas,이 편안한 다크 슬레이트 그레이 소파를 즐기세요,가구|소파
e75ccb4c-17a5-4746-b307-803dc61fce7d,Acoustic Guitar,This acoustic guitar will delight the most demanding musician,instruments|strings,이 어쿠스틱 기타는 가장 까다로운 뮤지션도 만족시킬 것입니다.,악기|현악기
b55e794f-1137-4de2-bcea-806041e080e6,Visit China,Plan your next trip with this essential reference book on China,books|travel,중국에 관한 이 필수 참고서로 다음 여행을 계획하세요,도서|여행
785b0efe-f08c-4199-84b7-de45a2c60a56,Watch,This watch for men is unsurpassed everyday,accessories|watch,이 남성용 시계는 매일 타의 추종을 불허합니다.,액세서리|시계
99c88141-7b7c-403b-b8eb-5dd5e8efd4a4,Kettle,A must-have for your kitchen,housewares|kitchen,주방을 위한 머스트해브 아이템,가정용품|부엌
020a5afe-fb13-4499-a1fa-8594d326eaa0,Elegant Ceramic Bowl,This elegant ceramic bowl is a must-have,housewares|bowls,이 우아한 도자기 그릇은 필수품입니다.,가정용품|그릇
654926f7-2240-429e-9222-f705d62a8841,Apricots,This delish fruit is everyone's favorite,groceries|fruits,이 맛있는 과일은 모두가 좋아하는 과일입니다,식료품|과일
e50a3585-a7be-4481-a4bb-4769a6066c91,Beef,Our beef is organic and raised sustainably,groceries|meat,우리 쇠고기는 유기농이며 지속 가능한 방식으로 재배됩니다.,식료품|고기
9d5f948a-713b-40c8-a1f8-2a289dcada5b,Kettle,A must-have for your kitchen,housewares|kitchen,주방을 위한 머스트해브 아이템,가정용품|부엌
468f0798-8c51-4846-b8ee-c9fea3a32cf4,Visit Greece,Plan your next trip with this essential reference book on Greece,books|travel,그리스에 관한 이 필수 참고서로 다음 여행을 계획하세요,도서|여행
6d488475-1d67-4076-96b1-8e706709a847,Kettle,A must-have for your kitchen,housewares|kitchen,주방을 위한 머스트해브 아이템,가정용품|부엌
a791d017-1dff-4632-bd32-cf91d966d3c4,Set Of Cushions,This set of cushions is very stylish,homedecor|cushion,이 쿠션 세트는 매우 스타일리시합니다.,홈 데코|쿠션
473d7251-7eaf-4b7a-9f87-ff6f7897d565,Gloss Bomb Universal Lip Luminizer,100% guaranteed universal and 100% luminous.,beauty|grooming,100% 범용성을 보장하고 100% 발광을 보장합니다.,뷰티|그루밍
0f4a0199-9ad9-422a-9bca-868723b659a9,Dark Blue Shoes,Dashing pair of dark blue shoes for ambling in a new city,footwear|sneaker,새로운 도시에서 걷기 좋은 멋진 다크 블루 슈즈,신발|스니커즈
547c307d-f756-4e69-af71-897352247169,Avocado,This flavorful veggie is a must-have in every pantry,groceries|vegetables,이 맛있는 채소는 모든 식료품 저장실에 꼭 있어야 합니다.,식료품|야채
87e34e87-de1f-4a83-9343-c885e82941b8,White Armchair,Relax in this soft white armchair,furniture|chairs,이 부드러운 흰색 안락 의자에서 휴식을 취하십시오.,가구|의자
63911783-3144-410c-b521-25bff67ec494,Pear,This delicious fruit is everyone's favorite,groceries|fruits,이 맛있는 과일은 모두가 좋아하는 과일입니다,식료품|과일
f95bf418-447f-4c76-8f87-a32b1d04942a,Cheese,This cheese is made sustainably by our dairy farmers,groceries|dairy,이 치즈는 낙농가가 지속 가능한 방식으로 만듭니다.,식료품|유제품
74752034-abd6-482b-a652-eca3bdbc906e,Pale Green Tee,Pale green tee for men,apparel|shirt,남성용 페일 그린 티셔츠,의류|셔츠
17b30ddf-a797-42ba-8145-364fd62e724c,Fashionable Socks,Fashionable and colorful socks,apparel|socks,패셔너블하고 화려한 양말,의복|양말
771a0ced-1a1c-45d4-b94c-3d7b2188e48b,Rattan Basket,This rattan basket is a must-have for your home decor,homedecor|decorative,이 등나무 바구니는 실내 장식에 꼭 필요한 필수품입니다.,홈 데코|데코레이션
d7886985-e5fa-4e4c-984c-d3e5be1036f5,Stylish Ceramic Bowl,Stylish ceramic bowl for every occasion,housewares|bowls,모든 상황에 어울리는 스타일리시한 도자기 그릇,가정용품|그릇
88d2eee9-2791-4cd7-b768-a08b6b590d38,Wedding Bouquet,Wedding bouquet grown sustainably on our organic farms,floral|bouquet,유기농 농장에서 지속 가능한 방식으로 재배한 웨딩 부케,꽃무늬|꽃다발
ee882660-2b73-4243-beea-e34541a94a4e,Beef,Our beef is raised sustainably by our farmers,groceries|meat,우리 소고기는 농부들이 지속 가능한 방식으로 기르고 있습니다.,식료품|고기
3f3b3c2d-b2ca-450f-9280-98f29b3371d5,Spiffy Sandals,This spiffy pair of sandals for woman is perfect for the summer,footwear|sandals,이 푹신한 여성용 샌들은 여름에 딱 맞습니다.,신발|샌들
6197af7d-ab62-4c5b-8050-4774ed9ebb41,Halloween Sign,A must-have for that fanciful day loved by all,seasonal|halloween,모두에게 사랑받는 기발한 날을 위한 머스트해브 아이템,계절|할로윈
c9022319-6833-4e6a-afcf-16fb3b85a2b8,Christmas Wreath,A favorite for the holidays,seasonal|christmas,휴일에 가장 좋아하는 제품,계절의|크리스마스
10d35bdd-fe3d-4d23-99de-68bf1e24bcff,Beer Glass,A must-have for your kitchen,housewares|kitchen,주방을 위한 머스트해브 아이템,가정용품|부엌
ef3bfb5d-2117-4fce-948d-a7ac144c96fc,Swell Scarf,Swell scarf for men,apparel|scarf,남성용 스웰 스카프,의복|스카프
31eef6b5-781e-4353-a851-d73ff9c22f9a,Chinese Cuisine,Learn to cook Chinese cuisine with these easy recipes,books|cooking,이 쉬운 레시피로 중국 요리를 배워보세요,책|요리
c92cda0f-65b3-4203-b229-52c222e872de,Sienna Armchair,Swanky sienna armchair for any room,furniture|chairs,모든 방에 어울리는 멋진 시에나 암체어,가구|의자
3efb5bf2-b419-43b9-9b1f-78a6aa6fc2b7,Black Bag,This black bag for women is matchless for all occassions,accessories|bag,이 여성용 블랙 백은 어떤 상황에도 잘 어울립니다.,액세서리|가방
cda26fe7-088a-426d-905a-74368dbf8e6d,Halloween Sign,Be sure to order early in October,seasonal|halloween,10월 초에 꼭 주문하세요,계절|할로윈
083c4c20-48c3-4610-b3f1-405602408f15,Funky Belt,Funky belt for all occasions,accessories|belt,모든 상황에 어울리는 펑키 벨트,액세서리|벨트
fe1a58b0-93dd-4600-8955-1d90d04320fa,High Definition Speakers,High definition speakers to fill the house with beautiful music,electronics|speaker,아름다운 음악으로 집안을 가득 채우는 고화질 스피커,전자제품|스피커
0aa92eeb-2d88-4b26-9e3b-5cbf6053c925,White Accent Table,Fashionable white accent table to enhance your room,furniture|tables,객실을 돋보이게 하는 세련된 흰색 액센트 테이블,가구|테이블
55726766-f273-405b-b90c-c339a0d9609a,Groovy Glasses,These groovy glasses for men are unequaled,accessories|glasses,이 멋진 남성용 안경은 타의 추종을 불허합니다.,액세서리|안경
9f87cbe4-07dc-4540-ad1d-693ea0c27045,Cool Belt,Cool belt for all occasions,accessories|belt,모든 상황에 어울리는 멋진 벨트,액세서리|벨트
7e0e0e1f-9798-4f20-843f-df9a1ae2d878,Crimson Shoes,Pair of crimson formal shoes for women,footwear|formal,여성용 크림슨 포멀 슈즈 한 켤레,신발|정장
f115c9be-eae6-4bdf-9b92-32ba579a43b1,Black Office Chair,Increase your productivity with this comfy black office chair,furniture|chairs,이 편안한 블랙 오피스 체어로 생산성을 높이세요,가구|의자
5ccbf994-ff21-47b9-a935-a6e077568c2d,Mixed Arrangement,Mixed arrangement grown sustainably on our organic farms,floral|arrangement,유기농 농장에서 지속 가능한 방식으로 재배한 혼합 재배,플로랄|어레인지먼트
23aa70ab-959f-4835-a114-c30ff5e4f974,Accurate Headphones,This accurate pair of headphones is unrivaled in clarity,electronics|headphones,이 정확한 헤드폰은 타의 추종을 불허하는 선명도를 자랑합니다.,전자제품|헤드폰
29ffa0d7-45c9-4774-9aca-bc382e3352de,Christmas Ornament,A favorite for the holidays,seasonal|christmas,휴일에 가장 좋아하는 제품,계절의|크리스마스
02c03513-b40d-44ec-b2d4-bb4d9421803a,Donuts,Donuts made fresh daily in our kitchens,groceries|bakery,주방에서 매일 신선하게 만드는 도넛,식료품|빵집
dc107cab-89ea-4e27-a2bd-182f3f5d4991,Teapot,Outstanding for every kitchen,housewares|kitchen,모든 주방에 잘 어울립니다.,가정용품|부엌
0aa18bc9-58bf-4a77-bb01-bd59605512ab,Midnight Blue Jacket,Warm casual jacket for women,apparel|jacket,여성용 따뜻한 캐주얼 재킷,의복|재킷
489dee3d-6abf-4470-bb94-8b9c0d12f18e,Saddle Brown Office Chair,Increase your productivity with this nice saddle brown office chair,furniture|chairs,이 멋진 새들 브라운 오피스 체어로 생산성을 높이세요,가구|의자
c9b8db98-e17a-49f3-ae8a-efa440be45be,Black And White Office Chair,Increase your productivity with this comfy office chair,furniture|chairs,이 편안한 사무용 의자로 생산성을 높이세요,가구|의자
2d2ea623-ed58-46bb-a95c-c932546c124e,Golden Accent Table,Swell golden accent table to enhance your room,furniture|tables,방을 돋보이게 하는 스웰 골든 액센트 테이블,가구|테이블
75917ca3-d96d-49c9-b99a-60baac872b7a,Rosy-Brown Coffee Table,Supercool rosy-brown coffee table to enliven your day,furniture|tables,하루를 활기차게 해줄 매우 멋진 장미빛 갈색 커피 테이블,가구|테이블
120e30c2-30ff-4c57-8265-17d084436ebb,Sans Pareil Bracelet,Sans pareil bracelet for women for every occasion,jewelry|bracelet,모든 상황에 어울리는 여성용 Sans Pareil 브레이슬릿,보석|팔찌
f31e0276-66fd-463b-9dbf-fd7a35e6a109,Unsurpassed Socks,These socks are very comfy for the office,apparel|socks,이 양말은 사무실에서 착용하기에 매우 편안합니다.,의복|양말
292c73e0-e9b7-4d65-837c-d7e9ba0ca5a3,Halloween Candy,A must-have for that fanciful day loved by all,seasonal|halloween,모두에게 사랑받는 기발한 날을 위한 머스트해브 아이템,계절|할로윈
e1372a53-ba17-48dc-8993-a57309805626,Halloween Skeleton,Be sure to order early in October,seasonal|halloween,10월 초에 꼭 주문하세요,계절|할로윈
d4caa74c-5d27-4f1a-847d-e2d93a6fdf32,Valentine Decorations,Be sure to order early for that special day,seasonal|valentine,특별한 날을 위해 일찍 주문하세요,계절|발렌타인
072f2cf7-33e8-4c74-9406-2c1fc21b3168,Black Shoes,Pair of black formal shoes for women,footwear|formal,여성용 블랙 포멀 슈즈,신발|정장
d805e752-3621-4844-a38d-f0c247f5036b,Wedding Bouquet,Wedding bouquet delivered fresh and vibrant from our growers,floral|bouquet,재배자로부터 신선하고 생생한 웨딩 부케를 제공합니다.,꽃무늬|꽃다발
0269c908-fd3e-4c51-b9f0-0e0968623eb7,Acoustic Drum,This acoustic drum is perfect for amateur and professional musicians,instruments|percussion,이 어쿠스틱 드럼은 아마추어 및 전문 뮤지션에게 적합합니다.,악기|타악기
d5e96c12-75cc-45ca-9991-7a987ed86ad3,Floral Design Plates,Ideal for every kitchen,housewares|kitchen,모든 주방에 적합,가정용품|부엌
17ab5081-8414-4cab-9003-033ec02b44da,Dark Gray Sofa,Unequaled dark gray sofa for any room,furniture|sofas,모든 객실에 어울리는 타의 추종을 불허하는 다크 그레이 소파,가구|소파
fd34b35b-de76-496e-89f1-6ef65969e1a4,Visit Mexico,Plan your next trip with this essential reference book on Mexico,books|travel,멕시코에 관한 필수 참고서로 다음 여행을 계획하세요,도서|여행
0c4744e2-b989-4509-a7e2-7d8dc43ff404,Drought-Resistant Indoor Plant,Drought-resistant indoor plant grown sustainably on our organic farms,floral|plant,유기농 농장에서 지속 가능한 방식으로 재배되는 가뭄에 강한 실내 식물,플로랄|식물
21a89a27-c1b2-4ccf-b68e-27d904b2f854,Valentine Decorations,Be sure to order early for that special day,seasonal|valentine,특별한 날을 위해 일찍 주문하세요,계절|발렌타인
4ea4ab51-cec5-4908-a95e-9529244cc050,Tan Worktable,Unrivaled tan worktable for your office,furniture|tables,사무실에서 사용할 수 있는 타의 추종을 불허하는 황갈색 작업대,가구|테이블
3e766c14-75f3-4b25-8808-32b97393434b,Goldenrod Dining Chair,Outstanding goldenrod chair for any dining room,furniture|chairs,어떤 식당에도 어울리는 뛰어난 골든로드 체어,가구|의자
18e38de5-432d-4825-b042-a6606480dd30,Keyboard,This keyboard is perfect for amateur and professional musicians,instruments|keys,이 키보드는 아마추어 및 전문 뮤지션에게 적합합니다.,계측기|키
40661057-b318-4fc9-bf00-8a1ab1b3c3cb,Groovy Belt,This groovy belt for women is perfect for all occasions,accessories|belt,이 멋진 여성용 벨트는 어떤 상황에도 잘 어울립니다.,액세서리|벨트
134b991a-f336-4b73-ae44-247317af0130,Rosy-Brown Jacket,Warm casual jacket for men,apparel|jacket,남성용 따뜻한 캐주얼 재킷,의복|재킷
9e90d949-90f7-443a-8a85-fa7e590bc589,Hip Scarf,Hip scarf for women for every occasion,apparel|scarf,모든 상황에 어울리는 여성용 힙 스카프,의복|스카프
d3d53458-ea05-4544-9a11-5a44df873e4d,White Worktable,Increase your productivity with this definitive white worktable,furniture|tables,이 선명한 흰색 작업대로 생산성을 높이십시오.,가구|테이블
6a1c85a2-0a73-4358-a99f-ec75b4c33f99,Light Gray Worktable,Outstanding light gray worktable for your office,furniture|tables,사무실을 위한 뛰어난 밝은 회색 작업대,가구|테이블
6d5b3f03-ade6-42f7-969d-acd1f2162332,Razor,Razor for every bathroom,beauty|grooming,모든 욕실용 면도기,뷰티|그루밍
ab704911-0afe-4c60-bf22-134c9e45f6d5,Convenient Cable,This convenient cable is a must-have for your electronics,electronics|cable,이 편리한 케이블은 전자 제품의 필수품입니다.,전자제품|케이블
87723a77-763c-441d-b1ce-0ef53529a2ac,Wiker Basket,This wiker basket is a must-have for your home decor,homedecor|decorative,이 와이커 바구니는 홈 데코에 꼭 필요한 필수품입니다.,홈 데코|데코레이션
ec981144-9f7d-473e-94a1-14da97152c5b,Waterproof Eyeliner and Mascara,"In stylish yellow, guaranteed to stay on in sauna and car-wash.",beauty|grooming,세련된 옐로우 컬러로 사우나와 세차장에서 계속 사용할 수 있습니다.,뷰티|그루밍
7991a67e-5d9b-4c51-8191-856551ebebca,White Dining Table,Outstanding white dining room for the whole family,furniture|tables,온 가족을 위한 멋진 화이트 다이닝 룸,가구|테이블
045324c6-7df9-4ce7-9688-d352a6d73e02,Christmas Wreath,Christmas wreath delivered fresh and vibrant from our growers,floral|wreath,재배자들이 신선하고 생생하게 전달한 크리스마스 화환,꽃무늬|화환
fe952283-95ea-4d20-9b6e-b0711698b171,Rosy-Brown Accent Table,Groovy rosy-brown accent table to enhance your room,furniture|tables,방을 돋보이게 해주는 멋진 장미빛 갈색 액센트 테이블,가구|테이블
41ac9770-6767-48e3-939d-db2e72668241,Supercool Watch,Supercool watch for women,accessories|watch,슈퍼쿨 여성용 시계,액세서리|시계
e99c24df-ebe9-429e-8c69-cd80132b87b3,Rosy-Brown Dining Table,This incomparable rosy-brown dining table will delight everyone,furniture|tables,이 비교할 수 없는 장밋빛 갈색 식탁은 모두를 기쁘게 할 것입니다.,가구|테이블
4c8e8bed-371a-4664-a5a8-974c65d52d63,Gainsboro Handbag,This gainsboro handbag is a quintessential dressy companion,accessories|handbag,게인즈버러 핸드백은 전형적인 드레시한 동반자입니다.,액세서리|핸드백
f2658d49-665b-433f-b48c-a1761d3de63c,Drought-Resistant Indoor Plant,Drought-resistant indoor plant delivered fresh and vibrant from our growers,floral|plant,재배자로부터 신선하고 활기차게 전달되는 가뭄에 강한 실내 식물,플로랄|식물
ba96fabb-220e-40f4-8999-c270f8d06a90,Christmas Ornament,A favorite for the holidays,seasonal|christmas,휴일에 가장 좋아하는 제품,계절의|크리스마스
6d08204b-35e4-419b-b2c7-ef762a3c6597,Cool Socks,These cool colorful socks will brighten smiles,apparel|socks,이 멋지고 다채로운 양말은 미소를 밝게 해줄 것입니다.,의복|양말
f8c2af2c-313d-43aa-bf76-340bafd0d46c,Hanging Lamp,This hanging lamp will enhance your home,homedecor|lighting,이 벽걸이 램프는 집을 더욱 돋보이게 해줄 것입니다.,홈 데코|조명
aff05423-76e8-4339-a478-fc17d51ed985,16oz Soda,16oz fountain soda always hits the spot,cold dispensed|fountain-carbonated,16oz 파운틴 소다는 언제나 제자리에 있습니다.,콜드 디스펜스|분수-탄산
5dbc7cb7-39c5-4795-9064-d1655d78b3ca,Razor,Razor for every bathroom,beauty|grooming,모든 욕실용 면도기,뷰티|그루밍
536b9388-bafb-432d-9085-ad4af01edd6f,Video Camera,Video camera for amateurs and professonals,electronics|camera,아마추어 및 전문가용 비디오 카메라,전자제품|카메라
54158f12-a839-466b-afbc-7c8788c9fd85,Firebrick Sneakers,An all-around intrepid pair of firebrick sneakers,footwear|sneaker,다재다능한 파이어브릭 스니커즈,신발|스니커즈
7250b108-96cc-45f7-b3f0-0e38d7277a8d,Dark Gray Handbag,This casual dark gray handbag is sans pareil all over,accessories|handbag,이 캐주얼한 다크 그레이 핸드백은 전체적으로 파레일이 없습니다.,액세서리|핸드백
a17b4428-be23-4ccf-820c-e4d502b18979,Denim Jacket,Cool casual jacket for men for all seasons,apparel|jacket,모든 계절에 어울리는 멋진 남성 캐주얼 재킷,의복|재킷
95f55bd7-c2fc-4a05-ad47-1f41e38a8456,Halloween Costume,A must-have for that fanciful day loved by all,seasonal|halloween,모두에게 사랑받는 기발한 날을 위한 머스트해브 아이템,계절|할로윈
